Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1983;year;    12.70;    12.69;    28.93;    27.37;    20.27;    14.69;    18.75;    18.79;    22.71;    22.22;    21.71;    28.31;    16.97;    14.13;    15.46;    17.20;    21.14;
1984;year;    11.83;    11.86;    30.35;    27.05;    26.33;    13.36;    20.80;    20.75;    29.72;    28.42;    23.08;    35.97;    16.04;    13.65;    16.80;    20.90;    22.90;
1985;year;     6.40;     6.42;    26.80;    26.56;    17.02;     8.78;    15.12;    15.13;    20.85;    17.46;    20.39;    20.74;    11.04;     7.29;    10.14;    13.85;    17.75;
1986;year;    16.82;    16.74;    37.09;    32.21;    23.57;    14.90;    21.26;    21.20;    29.27;    24.87;    22.58;    32.45;    20.49;    16.26;    18.75;    22.01;    25.17;
1987;year;    13.69;    13.70;    33.84;    32.10;    25.98;    11.61;    20.11;    20.05;    28.97;    27.33;    21.40;    32.59;    23.23;    13.56;    17.56;    22.77;    24.40;
1988;year;     8.26;     8.23;    36.12;    32.54;    20.57;    10.59;    18.40;    18.39;    25.57;    24.76;    24.57;    34.22;    16.52;     8.90;    12.39;    16.95;    22.45;
1989;year;     8.42;     8.44;    24.74;    26.51;    21.30;     9.44;    16.63;    16.66;    22.27;    23.62;    16.77;    28.67;    15.34;     9.26;    12.04;    15.66;    19.00;
1990;year;    10.79;    10.76;    29.62;    28.78;    20.52;    12.93;    20.00;    20.03;    22.13;    22.04;    30.08;    27.38;    13.29;    10.89;    13.06;    15.89;    21.25;
1991;year;     9.10;     9.12;    21.18;    22.06;    14.69;    10.04;    14.85;    14.88;    21.51;    17.58;    20.80;    22.84;    11.51;     8.26;     9.21;    10.44;    16.46;
1992;year;    11.06;    11.07;    29.44;    29.99;    23.63;    12.60;    19.33;    19.28;    25.86;    22.81;    18.85;    26.46;    16.91;    13.88;    15.64;    17.94;    21.91;
1993;year;    15.60;    15.67;    29.44;    30.34;    22.47;    18.97;    28.11;    28.13;    33.22;    23.64;    24.53;    29.51;    21.45;    15.50;    18.13;    21.57;    25.41;
1994;year;    16.99;    16.97;    30.98;    26.30;    24.38;    18.40;    26.18;    26.21;    30.47;    21.35;    29.06;    27.63;    20.11;    18.10;    19.52;    21.38;    24.57;
1995;year;    13.51;    13.50;    37.48;    33.66;    24.50;    13.61;    21.52;    21.54;    24.44;    27.53;    19.59;    37.23;    23.55;    12.48;    17.00;    22.89;    24.80;
1996;year;    10.41;    10.38;    26.85;    25.76;    18.64;    11.54;    14.89;    14.83;    19.65;    16.60;    14.96;    19.41;    14.41;    10.92;    13.35;    16.53;    18.26;
1997;year;    11.92;    11.93;    25.37;    25.66;    16.44;    13.01;    18.47;    18.45;    22.40;    20.22;    21.46;    26.93;    16.98;    11.18;    13.47;    16.46;    19.63;
