Jahr;Monat,brandenburg/berlin,brandenburg,baden-wuerttemberg,bayern,hessen,mecklenburg-vorpommern,niedersachsen,niedersachsen/hamburg/bremen,nordrhein-westfalen,rheinland-pfalz,schleswig-holstein,saarland,sachsen,sachsen-anhalt,thueringen/sachsen-anhalt,thueringen,deutschland
192112,0.34,0.33,0.00,-0.74,0.22,0.82,1.89,1.90,1.97,0.85,2.04,0.91,-0.52,0.79,0.26,-0.41,0.54
192212,2.47,2.46,1.29,0.31,2.15,2.72,3.75,3.75,3.58,2.55,3.66,2.58,1.81,2.83,2.36,1.76,2.21
192312,-2.37,-2.38,-0.97,-2.13,-1.25,-2.32,-1.65,-1.65,-0.55,-0.15,-1.81,0.13,-2.45,-2.09,-2.11,-2.14,-1.65
192412,1.53,1.52,0.48,-0.91,1.39,2.16,3.31,3.31,3.20,1.42,3.23,1.40,1.21,2.32,1.88,1.32,1.46
192512,-0.26,-0.27,-0.19,-1.65,-0.49,-0.72,-0.03,-0.03,0.93,0.33,-0.64,0.43,-0.30,-0.03,-0.40,-0.87,-0.42
192612,1.47,1.46,-0.82,-1.17,0.03,2.21,2.12,2.13,1.43,0.23,2.70,0.10,-0.24,1.23,0.45,-0.53,0.55
192712,-3.44,-3.45,-1.66,-2.92,-2.42,-3.04,-2.42,-2.42,-1.43,-1.72,-2.34,-1.52,-3.59,-3.06,-3.28,-3.56,-2.58
192812,-0.64,-0.65,-0.37,-1.65,-0.38,0.13,0.78,0.79,0.95,0.49,1.18,0.61,-1.28,-0.37,-0.87,-1.50,-0.31
192912,3.55,3.54,3.22,2.27,3.81,3.36,4.32,4.32,4.80,4.39,4.15,4.40,3.26,3.86,3.48,3.00,3.55
193012,0.41,0.40,0.30,-0.61,0.60,0.90,1.37,1.37,1.79,0.95,1.66,1.07,0.02,0.80,0.41,-0.07,0.57
193112,1.03,1.02,-1.24,-1.93,-0.34,1.36,1.62,1.63,1.25,-0.21,2.06,-0.24,-0.25,0.97,0.25,-0.66,0.08
