Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230103
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1983;year;    74.36;    74.50;    97.54;   107.27;    87.98;    69.09;    64.91;    64.84;    66.76;    83.05;    66.17;    82.00;    82.59;    72.65;    82.36;    95.04;    83.11;
1984;year;    94.39;    94.61;   110.38;   125.40;    89.90;    87.33;    79.81;    79.72;    64.77;    79.60;    76.87;    73.84;   101.95;    92.29;    99.98;   110.02;    95.85;
1985;year;    99.22;    99.42;   118.43;   130.72;   111.48;    96.35;    92.17;    92.04;    93.49;   107.16;    91.87;   104.16;   107.72;    99.53;   108.29;   119.73;   107.96;
1986;year;    80.89;    81.01;   102.97;   113.07;    86.05;    81.02;    75.36;    75.33;    73.41;    85.76;    78.66;    84.13;    87.20;    80.06;    87.21;    96.54;    89.52;
1987;year;    95.12;    95.20;   104.51;   113.04;    98.25;    94.75;    85.70;    85.63;    83.12;    92.91;    89.29;    86.89;   102.90;    93.23;    99.95;   108.71;    97.81;
1988;year;    73.65;    73.77;    81.23;    97.23;    72.34;    67.10;    52.67;    52.55;    45.79;    62.84;    56.87;    58.31;    85.15;    70.00;    78.45;    89.48;    72.73;
1989;year;    63.12;    63.27;    86.51;    95.44;    74.29;    55.26;    52.03;    51.89;    51.80;    69.67;    47.11;    67.70;    72.45;    61.02;    69.91;    81.52;    70.33;
1990;year;    49.97;    50.22;    81.85;    93.58;    61.00;    40.90;    38.98;    38.79;    40.87;    56.89;    37.23;    53.25;    63.52;    51.51;    61.93;    75.52;    61.30;
1991;year;    83.34;    83.62;   104.61;   117.28;    99.46;    73.49;    74.86;    74.65;    74.67;    88.78;    66.78;    82.02;   101.80;    87.43;    97.19;   109.93;    92.48;
1992;year;    71.66;    71.86;    86.68;   100.08;    73.09;    58.68;    47.87;    47.77;    46.00;    61.71;    46.11;    55.55;    80.88;    66.02;    76.10;    89.26;    71.53;
1993;year;    89.78;    90.00;    91.14;   104.98;    88.76;    83.90;    73.47;    73.38;    70.59;    79.49;    75.80;    72.59;   100.51;    85.15;    92.74;   102.65;    88.00;
1994;year;    60.58;    60.82;    60.57;    76.25;    62.12;    55.35;    46.61;    46.49;    43.73;    53.00;    46.63;    45.57;    71.66;    58.67;    65.76;    75.01;    59.90;
1995;year;    96.95;    97.17;    92.86;   109.31;    90.67;    91.18;    78.68;    78.58;    69.84;    77.28;    77.11;    70.21;   105.29;    92.64;    98.05;   105.12;    91.57;
1996;year;   128.63;   128.85;   117.33;   130.62;   110.27;   128.94;   108.86;   108.79;    98.40;   102.63;   118.89;    98.10;   128.56;   122.69;   124.03;   125.79;   118.69;
1997;year;    99.44;    99.70;    95.41;   110.52;    83.33;    91.18;    68.97;    68.94;    60.40;    75.75;    78.38;    72.33;   104.00;    87.30;    92.46;    99.20;    88.99;
1998;year;    70.06;    70.18;    91.05;    99.58;    77.22;    64.85;    53.98;    53.89;    53.34;    72.96;    54.79;    71.41;    79.29;    69.72;    75.02;    81.93;    74.83;
1999;year;    75.86;    76.02;    85.58;    97.64;    69.84;    65.15;    52.73;    52.63;    48.88;    65.48;    54.87;    61.41;    85.18;    69.22;    73.82;    79.82;    73.08;
2000;year;    53.80;    53.92;    63.81;    77.97;    54.75;    46.69;    38.23;    38.15;    39.49;    47.34;    35.28;    43.98;    64.64;    48.62;    54.81;    62.88;    55.14;
2001;year;    94.68;    94.80;    88.62;   100.32;    83.81;    86.88;    75.88;    75.88;    66.31;    75.74;    81.11;    72.07;    98.78;    83.93;    88.27;    93.94;    86.54;
2002;year;    75.22;    75.43;    66.08;    81.28;    61.35;    72.13;    58.09;    58.08;    47.50;    53.90;    58.12;    52.14;    84.29;    69.95;    72.95;    76.86;    67.66;
2003;year;   108.04;   108.29;   109.72;   123.55;    97.58;    97.70;    85.59;    85.59;    78.47;    88.32;    80.05;    80.03;   111.97;    99.60;   104.24;   110.30;   101.43;
2004;year;    85.28;    85.55;   100.70;   109.20;    89.46;    76.56;    67.34;    67.24;    74.13;    82.34;    65.96;    77.83;    97.37;    82.18;    89.35;    98.71;    87.74;
2005;year;    99.39;    99.72;   105.80;   115.59;    90.10;    91.84;    71.90;    71.89;    68.76;    81.63;    76.21;    83.23;   103.89;    92.31;    96.11;   101.06;    93.36;
2006;year;    86.96;    87.07;   103.16;   109.16;    88.98;    77.65;    77.38;    77.30;    75.08;    83.56;    72.21;    81.43;    94.31;    84.35;    88.99;    95.04;    89.79;
2007;year;    59.37;    59.73;    77.13;    87.27;    63.51;    44.22;    38.90;    38.84;    42.22;    52.29;    37.12;    47.23;    71.46;    57.17;    64.10;    73.14;    61.20;
