Jahr,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland
1994,10.76,10.78,10.64,15.93,9.79,12.37,9.71,9.70,6.39,7.54,10.34,5.94,12.17,10.73,12.65,15.15,11.30
1995,24.28,24.35,22.35,33.12,22.05,23.57,19.40,19.38,14.94,16.30,19.55,13.35,31.88,23.55,28.42,34.78,24.20
1996,50.73,50.85,37.40,52.26,44.74,54.22,45.44,45.39,34.93,36.80,45.56,33.42,55.09,49.04,52.67,57.41,46.63
1997,16.59,16.63,20.67,25.12,19.38,19.10,14.50,14.51,14.13,18.83,16.06,17.58,20.25,15.83,18.26,21.44,18.98
1998,20.68,20.68,23.77,31.02,19.85,18.36,12.83,12.79,10.58,16.09,11.75,15.75,27.05,18.48,22.77,28.38,20.68
1999,9.02,9.06,22.09,27.73,14.78,10.08,6.20,6.15,6.83,11.83,7.35,9.53,18.48,9.14,14.38,21.22,14.99
2000,10.21,10.21,10.36,17.09,9.25,9.51,6.11,6.11,3.88,6.62,5.60,4.29,12.06,7.60,9.93,12.98,9.95
2001,15.46,15.54,16.45,25.26,14.07,15.73,13.43,13.47,8.31,10.77,13.92,8.49,23.97,15.11,19.36,24.91,16.95
2002,22.52,22.54,16.06,23.99,18.16,18.98,14.15,14.17,7.73,15.84,14.12,15.48,23.40,17.26,19.51,22.44,18.08
2003,20.14,20.22,23.79,28.69,18.38,21.75,15.02,15.00,12.96,15.59,15.25,12.16,28.45,19.48,23.46,28.66,21.07
2004,13.73,13.75,22.48,30.02,16.18,13.52,6.59,6.59,8.42,15.86,8.76,13.69,24.11,12.41,17.18,23.41,17.30
2005,17.30,17.41,32.85,39.37,23.58,14.23,13.32,13.26,15.56,22.38,9.22,18.11,33.93,19.04,25.26,33.38,24.32
2006,23.26,23.32,25.78,33.61,20.67,22.36,13.16,13.15,10.95,18.08,13.80,13.01,32.74,21.42,26.14,32.30,22.83
2007,8.48,8.52,14.77,18.27,11.57,6.51,6.77,6.74,5.65,8.51,3.65,5.52,14.00,8.62,11.50,15.26,10.97
2008,6.24,6.24,12.50,14.38,9.87,4.78,5.50,5.48,5.11,8.80,4.11,7.03,12.79,7.70,10.52,14.19,9.23
2009,25.35,25.36,27.69,34.05,26.01,18.73,16.60,16.53,16.03,20.19,12.69,18.90,32.02,21.91,26.13,31.63,24.38
2010,61.29,61.37,48.91,60.79,56.07,61.51,54.36,54.34,47.43,47.64,58.68,42.43,63.69,60.59,63.08,66.34,56.69
2011,13.19,13.23,16.10,21.62,12.46,15.24,9.80,9.80,6.44,9.95,12.54,7.11,19.26,13.32,15.92,19.31,14.49
2012,26.38,26.38,25.06,30.55,22.61,25.41,19.30,19.31,17.60,19.39,23.18,17.02,29.36,24.50,26.01,27.97,24.52
2013,26.89,26.96,28.43,35.22,29.98,23.28,22.23,22.15,22.72,24.59,22.22,20.54,38.89,28.18,33.52,40.48,28.53
2014,17.47,17.45,5.78,8.78,5.68,17.28,10.49,10.54,3.36,3.66,11.94,2.16,14.38,13.99,13.20,12.17,9.86
2015,2.28,2.32,10.27,13.14,7.22,3.13,2.45,2.43,3.27,5.97,3.59,4.28,7.39,3.01,6.27,10.53,6.65
2016,12.27,12.30,11.32,17.45,12.38,11.91,9.55,9.57,4.88,7.57,10.52,7.08,14.54,10.62,13.46,17.16,11.98
2017,15.33,15.38,21.97,26.68,15.74,10.90,9.92,9.86,8.46,13.47,6.74,11.79,21.45,13.68,17.53,22.55,16.63
2018,10.89,10.97,16.27,20.94,15.99,12.24,9.68,9.64,9.80,12.59,8.73,11.18,20.17,11.98,16.86,23.23,14.64
2019,4.40,4.43,10.48,13.96,7.61,5.61,3.44,3.43,4.36,7.32,3.74,6.04,8.42,4.18,7.24,11.23,7.69
2020,0.40,0.41,5.91,9.16,3.74,0.60,1.02,1.00,1.94,2.60,0.46,1.68,4.26,0.67,2.77,5.50,3.71
2021,16.39,16.43,15.44,20.58,13.94,17.39,13.09,13.05,9.67,11.08,10.95,7.22,20.79,14.74,17.57,21.27,15.70
2022,10.30,10.26,11.50,14.41,11.44,9.66,6.54,6.53,6.46,9.40,7.01,7.74,12.35,9.09,11.42,14.46,10.40
