Jahr,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen,Deutschland
1939,728.6,728.2,1277.0,1107.8,908.4,666.1,797.1,796.6,891.7,899.5,734.7,1061.0,888.6,691.2,771.3,872.2,916.3
1940,565.3,565.5,1116.9,1061.6,816.1,590.9,794.3,793.3,894.1,833.6,720.2,987.2,802.9,577.6,675.4,798.4,847.4
1941,650.6,650.5,1050.6,1081.5,833.2,645.0,751.1,750.5,860.3,804.1,680.8,961.1,1021.7,690.0,783.8,901.9,866.1
1942,487.2,487.4,857.9,772.0,635.2,569.9,639.0,638.6,711.1,669.5,642.0,738.5,610.0,486.5,534.7,595.3,667.7
1943,394.5,394.6,745.8,727.9,612.6,455.3,618.0,617.7,737.9,670.3,639.6,803.5,498.3,433.7,483.2,545.4,620.1
1944,560.3,561.1,1061.8,1111.9,800.0,604.8,771.4,770.6,992.9,778.1,757.8,898.3,768.6,571.1,661.1,774.4,852.4
1945,569.6,569.0,938.8,877.6,757.1,602.9,734.9,735.2,880.9,770.9,803.3,851.6,724.2,573.4,639.4,722.5,772.5
1946,605.4,606.8,870.6,870.1,769.0,699.2,706.6,705.7,838.1,731.4,808.2,904.4,767.3,579.9,641.1,718.1,766.6
1947,516.4,515.0,854.7,804.4,674.7,573.2,664.9,664.4,757.7,684.0,645.5,862.7,599.9,464.4,543.3,642.4,688.8
1948,582.3,581.8,881.6,903.9,768.8,599.9,711.5,712.2,865.8,765.1,745.8,925.8,665.8,523.2,566.3,620.5,756.4
1949,527.3,527.7,648.3,736.1,576.8,618.0,702.2,703.3,742.1,578.7,746.8,634.0,659.0,491.8,540.1,600.9,656.4
1950,583.6,583.3,1014.0,916.1,895.7,684.5,780.9,780.9,886.3,923.9,861.7,1068.8,731.4,616.9,711.1,829.7,829.4
1951,520.6,520.7,929.9,810.4,706.0,605.4,778.1,779.1,897.3,807.1,876.5,920.9,572.3,536.4,582.6,640.6,750.8
1952,541.9,542.8,1079.7,1002.8,834.3,591.7,751.6,750.5,906.2,919.5,757.0,1062.2,740.4,593.4,684.9,800.0,831.0
1953,473.4,472.3,716.5,654.0,524.4,523.7,582.9,583.3,649.8,513.5,695.5,541.0,580.3,455.7,487.8,528.2,591.8
1954,653.3,652.2,997.1,1044.1,794.1,670.3,875.6,876.1,984.2,798.2,949.7,923.4,899.2,651.0,691.7,742.8,877.1
1955,595.5,596.0,951.6,958.3,744.1,618.4,726.4,726.3,788.8,712.5,697.9,824.4,800.6,649.6,689.3,739.2,783.6
1956,664.7,664.2,979.5,972.7,870.6,628.0,795.4,793.2,973.5,798.5,710.6,875.8,844.5,694.5,751.9,824.0,844.1
1957,548.2,548.5,879.2,916.2,784.9,570.2,794.1,793.0,946.8,739.7,796.6,883.9,765.4,567.6,614.0,672.5,783.6
1958,595.9,595.1,1096.7,1034.9,911.5,633.5,827.4,826.7,1000.7,891.2,773.0,1181.3,815.7,626.8,704.8,803.0,876.1
1959,459.8,458.7,748.9,743.9,492.3,428.1,403.8,404.2,501.3,542.7,478.2,685.6,556.7,383.2,426.7,481.5,551.1
1960,600.0,600.1,970.2,933.2,905.8,752.4,844.0,843.8,1024.7,829.2,901.6,1055.1,745.1,590.8,664.3,756.7,849.0
1961,658.3,657.2,946.7,914.3,945.8,652.3,940.0,938.6,1055.6,842.1,812.3,1028.9,726.3,685.1,734.2,796.0,862.1
1962,495.8,495.3,828.6,816.3,694.4,568.8,717.7,717.2,828.7,667.4,789.7,786.7,557.9,472.4,512.0,561.8,701.2
1963,432.5,432.8,871.9,797.9,651.3,528.5,625.1,625.7,696.6,627.5,716.2,842.6,545.3,420.3,496.2,591.7,658.7
1964,502.4,501.9,779.2,804.9,560.8,501.1,581.1,581.5,647.5,596.2,632.2,692.9,573.6,440.9,463.5,492.0,631.1
1965,636.1,636.2,1312.2,1190.7,1074.3,679.9,885.8,885.6,1133.0,1053.5,940.1,1274.4,864.9,654.4,747.6,864.9,989.4
1966,660.5,659.0,1107.2,1179.8,1027.5,673.6,899.5,898.3,1138.2,984.2,927.6,1084.3,847.9,694.7,788.1,905.6,965.1
1967,653.9,654.7,931.5,919.2,865.2,679.9,853.4,852.7,927.8,878.9,870.1,1094.6,800.9,623.2,668.4,725.2,836.8
1968,609.6,610.0,1141.9,968.2,869.9,690.5,756.9,757.5,904.0,918.9,809.1,1028.1,750.3,561.2,632.8,722.9,842.3
1969,532.3,531.8,957.6,803.0,741.6,544.7,684.7,684.4,782.4,749.9,718.1,867.7,633.0,545.3,626.6,728.8,724.6
1970,606.6,607.0,1108.3,1110.8,885.5,694.8,856.8,856.8,1020.2,896.2,850.7,1086.2,852.8,712.1,767.5,837.1,913.5
1971,444.8,444.8,701.8,741.3,591.0,446.2,554.0,553.9,642.9,579.2,597.7,661.1,615.9,444.1,486.0,538.7,601.3
1972,498.6,498.0,809.6,739.1,688.9,543.5,634.5,634.4,720.9,660.7,646.2,740.8,546.8,518.0,577.9,653.3,660.0
1973,516.1,515.3,917.1,850.7,623.1,541.7,677.6,678.3,734.3,633.5,770.4,734.7,661.7,459.6,527.5,612.8,702.2
1974,694.4,693.0,1019.1,1091.3,877.6,644.0,781.6,782.2,1003.6,855.3,824.3,956.9,926.6,618.5,707.3,819.0,885.4
1975,441.0,440.1,864.3,847.3,637.9,467.2,605.1,604.6,696.7,670.4,592.4,718.7,582.5,432.1,499.0,583.1,659.5
1976,400.4,400.9,771.9,747.3,511.7,494.0,575.2,575.1,627.5,561.9,542.2,601.6,522.1,389.8,438.0,498.6,592.0
1977,638.1,637.6,997.2,980.6,833.2,621.7,728.4,728.6,851.3,848.2,788.6,1008.4,802.1,664.2,733.6,820.8,825.5
1978,632.3,632.0,1085.8,965.0,694.3,623.8,747.6,748.9,819.4,797.1,806.2,989.7,758.3,535.3,583.6,644.3,802.3
1979,580.6,579.6,1016.5,1042.8,824.7,596.3,749.0,748.8,896.1,893.2,810.3,1101.9,702.6,564.2,627.0,705.9,827.7
1980,615.2,614.0,987.2,979.3,810.9,694.6,798.0,798.9,906.2,877.2,944.5,1081.5,798.2,574.9,645.2,733.7,839.9
1981,697.9,698.2,1169.1,1182.2,1084.5,743.1,936.8,936.0,1111.4,1034.2,875.7,1184.3,961.0,708.2,814.8,948.8,995.3
