Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
2005;year;     3.36;     3.34;     6.36;     8.07;     4.40;     2.38;     3.18;     3.19;     5.74;     3.28;     4.01;     3.31;     3.94;     2.26;     2.84;     3.59;     4.80;
2006;year;     1.00;     0.99;     9.31;     7.78;     4.26;     2.25;     2.52;     2.52;     3.87;     4.80;     3.21;     6.63;     3.05;     1.18;     2.40;     4.00;     4.54;
2007;year;     5.34;     5.29;     8.92;     9.43;     7.25;     5.23;     6.24;     6.24;     9.60;     5.08;     5.45;     8.01;     5.51;     6.88;     7.16;     7.52;     7.35;
2008;year;     2.46;     2.47;     6.84;     5.79;     3.12;     2.56;     5.82;     5.83;     5.34;     3.93;     5.26;     6.63;     4.59;     2.79;     2.79;     2.79;     4.71;
2009;year;     2.34;     2.36;     6.68;     6.75;     3.23;     1.56;     3.08;     3.08;     4.45;     3.97;     3.91;     5.59;     4.06;     2.18;     3.02;     4.11;     4.30;
2010;year;     5.25;     5.32;     7.33;     7.34;     4.18;     4.29;     3.88;     3.88;     5.14;     4.10;     5.41;     5.47;     8.70;     5.45;     5.26;     5.01;     5.68;
2011;year;     5.46;     5.46;     6.92;     7.83;     3.82;     5.97;     3.91;     3.92;     3.92;     4.06;     6.78;     5.32;     5.18;     4.03;     3.81;     3.53;     5.45;
2012;year;     2.23;     2.23;     7.26;     5.90;     3.15;     1.52;     2.47;     2.46;     4.25;     3.31;     3.51;     5.65;     4.27;     1.99;     2.87;     4.02;     4.01;
2013;year;     4.26;     4.27;    10.01;     9.31;     4.68;     3.10;     4.07;     4.08;     3.98;     4.90;     3.57;     7.21;     7.89;     4.39;     5.13;     6.10;     6.05;
2014;year;     2.57;     2.59;     7.85;     6.93;     5.00;     3.29;     3.26;     3.26;     5.45;     5.02;     5.47;     5.80;     3.99;     3.97;     4.17;     4.42;     5.05;
2015;year;     2.18;     2.21;     6.34;     6.06;     2.58;     1.61;     4.05;     4.06;     5.52;     3.36;     3.85;     3.21;     3.49;     3.26;     3.02;     2.71;     4.23;
2016;year;     2.19;     2.22;     7.55;     7.61;     3.47;     1.41;     2.96;     2.96;     3.73;     4.36;     2.96;     6.24;     4.33;     2.46;     2.85;     3.37;     4.44;
2017;year;     4.11;     4.10;     7.90;     7.57;     6.00;     5.10;     4.71;     4.72;     4.78;     4.38;     6.86;     7.40;     3.61;     3.95;     4.52;     5.26;     5.68;
2018;year;     1.84;     1.83;     7.50;     7.56;     3.74;     1.97;     1.73;     1.74;     3.18;     5.07;     1.61;     8.82;     2.59;     1.39;     2.11;     3.04;     4.07;
2019;year;     2.29;     2.28;     7.90;     6.30;     3.12;     2.52;     3.31;     3.30;     4.09;     3.22;     3.88;     5.06;     3.06;     2.54;     2.94;     3.46;     4.27;
2020;year;     2.58;     2.61;     6.43;     7.05;     3.14;     2.32;     3.17;     3.16;     3.53;     3.78;     3.50;     6.53;     5.61;     3.05;     4.03;     5.32;     4.48;
2021;year;     4.12;     4.14;     8.13;     7.86;     3.38;     4.20;     3.12;     3.11;     4.42;     3.48;     3.56;     5.21;     5.77;     4.32;     4.79;     5.40;     5.22;
2022;year;     1.47;     1.48;     7.46;     5.67;     3.51;     2.43;     2.36;     2.38;     3.51;     4.40;     4.69;     8.38;     3.21;     1.05;     1.91;     3.04;     3.90;
