Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;year;     2.69;     2.68;     6.90;     6.01;     3.29;     2.88;     4.45;     4.47;     4.84;     4.06;     5.18;     4.83;     3.67;     3.24;     3.49;     3.82;     4.60;
1952;year;     1.66;     1.68;     8.50;     6.61;     3.29;     1.63;     2.55;     2.53;     5.11;     5.54;     2.42;     6.76;     3.45;     2.65;     2.93;     3.29;     4.38;
1953;year;     2.72;     2.69;     5.86;     5.05;     3.08;     2.04;     2.22;     2.21;     3.77;     2.48;     2.82;     2.13;     2.64;     2.32;     2.47;     2.67;     3.46;
1954;year;     4.55;     4.51;     7.78;     8.77;     3.63;     3.33;     5.29;     5.30;     7.08;     3.26;     5.82;     4.16;     8.16;     4.05;     3.85;     3.59;     6.01;
1955;year;     2.93;     2.95;     8.72;     7.65;     3.70;     4.03;     4.19;     4.22;     3.57;     3.81;     3.96;     5.02;     4.28;     4.72;     4.36;     3.89;     5.13;
1956;year;     3.60;     3.59;     8.04;     7.91;     5.59;     2.40;     4.33;     4.28;     6.77;     4.19;     2.34;     5.64;     5.70;     4.46;     4.62;     4.83;     5.54;
1957;year;     2.21;     2.22;     6.47;     7.46;     3.62;     2.20;     4.28;     4.25;     5.48;     3.77;     3.67;     6.41;     4.71;     2.85;     2.81;     2.75;     4.72;
1958;year;     2.91;     2.89;    10.39;     8.67;     4.80;     2.04;     3.65;     3.65;     5.92;     4.42;     2.82;     8.93;     5.35;     3.52;     4.08;     4.80;     5.62;
1959;year;     4.44;     4.40;     6.03;     6.99;     1.82;     2.79;     1.12;     1.12;     2.04;     2.46;     1.69;     3.64;     5.11;     2.72;     2.98;     3.31;     3.82;
1960;year;     2.13;     2.14;     7.23;     7.10;     5.68;     3.68;     5.77;     5.76;     7.83;     4.36;     6.05;     6.45;     4.89;     3.14;     3.83;     4.73;     5.62;
1961;year;     3.05;     3.05;     6.89;     7.08;     5.46;     2.23;     5.74;     5.71;     6.29;     4.81;     3.20;     7.89;     3.67;     3.95;     4.26;     4.66;     5.29;
1962;year;     1.00;     0.99;     6.88;     5.78;     3.43;     1.33;     2.85;     2.84;     3.90;     3.81;     2.84;     6.63;     1.18;     1.29;     1.59;     1.99;     3.58;
1963;year;     1.45;     1.46;     7.49;     5.87;     3.95;     2.13;     2.85;     2.86;     3.38;     3.72;     3.14;     6.73;     2.39;     1.83;     2.38;     3.10;     3.88;
1964;year;     2.18;     2.17;     5.91;     6.47;     2.68;     1.37;     2.06;     2.04;     3.37;     3.08;     1.64;     4.87;     2.85;     2.26;     2.14;     1.98;     3.55;
1965;year;     2.88;     2.88;    10.79;     9.10;     6.17;     2.58;     4.32;     4.34;     7.06;     5.94;     7.06;    10.22;     5.09;     3.69;     3.95;     4.28;     6.31;
1966;year;     3.76;     3.73;     8.66;    10.51;     7.22;     3.20;     4.78;     4.75;     8.67;     6.18;     4.84;     6.55;     5.42;     3.93;     4.82;     5.98;     6.76;
1967;year;     2.76;     2.80;     6.60;     6.89;     6.03;     2.87;     4.28;     4.28;     5.05;     6.50;     4.63;     9.67;     4.83;     3.25;     3.76;     4.42;     5.14;
1968;year;     3.62;     3.61;    10.32;     7.85;     4.98;     4.21;     4.42;     4.43;     5.52;     5.99;     4.63;     7.95;     3.17;     2.95;     3.34;     3.84;     5.70;
1969;year;     2.85;     2.87;     7.89;     5.66;     3.77;     2.84;     3.17;     3.16;     4.22;     3.34;     3.78;     5.34;     3.46;     2.38;     3.04;     3.90;     4.28;
1970;year;     1.46;     1.48;     9.04;     8.71;     3.53;     2.66;     4.39;     4.40;     5.82;     4.82;     4.49;     7.69;     4.33;     3.69;     3.58;     3.43;     5.41;
1971;year;     2.09;     2.08;     5.55;     6.31;     3.62;     1.85;     2.66;     2.67;     3.06;     3.14;     2.33;     4.16;     3.19;     2.47;     2.58;     2.72;     3.71;
1972;year;     3.50;     3.49;     7.71;     6.28;     5.94;     3.71;     3.60;     3.58;     4.50;     4.77;     2.87;     3.83;     3.80;     3.87;     4.44;     5.18;     4.90;
1973;year;     1.17;     1.16;     7.95;     5.95;     2.72;     1.50;     1.92;     1.91;     2.76;     2.48;     4.09;     3.94;     3.59;     1.07;     1.74;     2.62;     3.57;
1974;year;     3.25;     3.19;     7.11;     8.49;     3.42;     1.40;     2.31;     2.31;     5.00;     3.26;     2.45;     4.72;     6.43;     2.25;     2.61;     3.07;     4.68;
1975;year;     2.42;     2.40;     6.72;     7.31;     2.57;     2.09;     2.40;     2.39;     2.64;     3.56;     2.31;     4.98;     3.54;     1.90;     2.33;     2.88;     3.95;
1976;year;     0.60;     0.61;     6.23;     5.63;     1.97;     1.73;     1.93;     1.94;     2.65;     2.57;     1.76;     2.91;     1.21;     0.68;     0.96;     1.33;     2.94;
1977;year;     3.01;     3.04;     8.30;     8.19;     5.41;     2.11;     3.57;     3.56;     3.91;     4.31;     3.01;     5.46;     6.25;     4.65;     5.32;     6.20;     5.31;
1978;year;     2.52;     2.52;     9.97;     8.63;     3.75;     2.11;     2.83;     2.85;     4.65;     4.64;     2.66;     9.04;     4.99;     1.76;     2.53;     3.54;     5.08;
1979;year;     1.61;     1.60;     7.47;     9.41;     4.73;     2.67;     2.31;     2.29;     5.38;     5.94;     2.53;     8.70;     3.69;     1.60;     2.38;     3.40;     4.97;
1980;year;     2.58;     2.59;     7.27;     7.66;     3.90;     3.29;     3.25;     3.25;     5.69;     4.99;     5.60;     7.83;     5.55;     2.72;     3.17;     3.76;     5.09;
1981;year;     3.80;     3.82;    10.39;    11.99;     8.41;     4.02;     5.23;     5.21;     7.77;     8.43;     4.42;    10.40;     7.32;     3.86;     5.20;     6.96;     7.60;
1982;year;     0.65;     0.65;     9.71;     6.62;     4.61;     0.64;     2.29;     2.27;     4.58;     5.87;     2.43;     9.47;     2.04;     0.54;     1.16;     1.97;     4.13;
1983;year;     2.88;     2.87;     8.55;     7.15;     4.02;     2.15;     3.46;     3.44;     4.55;     4.45;     3.37;     8.66;     4.79;     3.35;     3.79;     4.36;     4.90;
1984;year;     1.74;     1.75;     8.60;     7.37;     7.73;     2.61;     4.34;     4.32;     9.87;     7.89;     5.38;     9.58;     3.60;     2.82;     4.05;     5.65;     5.97;
1985;year;     0.77;     0.76;     6.72;     7.58;     2.94;     0.90;     1.67;     1.67;     3.33;     2.48;     2.50;     2.87;     2.00;     1.18;     1.63;     2.22;     3.56;
1986;year;     2.94;     2.94;    12.15;     8.40;     6.06;     2.22;     4.28;     4.26;     7.87;     6.91;     4.86;    11.41;     5.33;     3.26;     4.06;     5.10;     6.34;
1987;year;     3.35;     3.34;     9.49;     8.93;     5.59;     2.74;     2.87;     2.85;     5.83;     5.10;     2.30;     7.52;     4.90;     2.59;     3.63;     4.98;     5.53;
1988;year;     0.95;     0.94;     9.29;     8.53;     3.89;     1.32;     2.55;     2.53;     5.26;     4.22;     2.98;     6.10;     2.69;     1.26;     2.05;     3.08;     4.63;
1989;year;     1.50;     1.51;     6.09;     6.26;     4.69;     1.66;     3.65;     3.66;     4.25;     4.54;     5.18;     4.89;     3.10;     1.55;     2.31;     3.31;     4.18;
1990;year;     2.72;     2.68;     8.43;     7.92;     4.88;     2.58;     3.75;     3.77;     5.79;     5.93;     6.04;     8.29;     2.99;     2.64;     2.76;     2.92;     5.26;
1991;year;     1.30;     1.29;     6.15;     7.28;     2.68;     1.93;     3.67;     3.68;     5.56;     3.46;     4.84;     4.59;     3.30;     1.38;     1.62;     1.94;     4.26;
1992;year;     1.59;     1.59;     9.08;     8.04;     5.55;     1.38;     4.16;     4.15;     6.19;     4.54;     3.97;     5.01;     3.67;     2.89;     3.64;     4.62;     5.24;
1993;year;     2.95;     2.98;     7.76;     8.28;     5.31;     3.59;     6.00;     6.01;     8.66;     6.11;     4.31;     8.26;     4.08;     3.39;     3.93;     4.64;     6.06;
1994;year;     5.10;     5.08;     8.23;     6.71;     4.77;     3.36;     6.39;     6.35;     7.74;     4.17;     5.29;     5.38;     6.42;     5.60;     5.29;     4.88;     6.07;
1995;year;     2.72;     2.72;    10.83;    10.26;     4.95;     2.59;     3.46;     3.46;     4.82;     5.71;     3.25;     9.90;     6.65;     2.04;     3.48;     5.35;     5.98;
1996;year;     2.25;     2.26;     6.68;     6.91;     3.63;     2.47;     2.81;     2.79;     5.13;     3.60;     1.70;     5.77;     3.84;     1.99;     2.78;     3.80;     4.28;
1997;year;     2.91;     2.92;     6.71;     6.49;     2.68;     2.34;     3.40;     3.39;     4.34;     3.88;     4.70;     6.71;     3.49;     2.60;     2.94;     3.39;     4.35;
1998;year;     2.10;     2.09;     7.30;     8.53;     4.99;     3.40;     4.59;     4.59;     7.64;     4.57;     6.12;     7.63;     4.36;     2.31;     3.03;     3.97;     5.58;
1999;year;     0.95;     0.96;     9.40;     7.30;     4.11;     2.02;     2.20;     2.19;     4.86;     5.21;     3.25;     8.17;     3.30;     1.53;     2.43;     3.60;     4.52;
2000;year;     1.48;     1.48;     7.62;     7.33;     2.99;     2.03;     2.78;     2.76;     4.92;     5.88;     1.70;     7.74;     3.97;     1.63;     2.05;     2.60;     4.37;
2001;year;     2.22;     2.22;     8.84;     8.09;     2.80;     2.83;     4.38;     4.41;     4.71;     4.36;     4.28;     6.28;     3.27;     2.31;     2.59;     2.95;     4.99;
2002;year;     4.64;     4.65;    12.86;    13.16;     8.74;     4.19;     6.91;     6.93;    10.41;     8.28;     6.76;    11.65;     7.25;     5.88;     6.73;     7.85;     8.93;
2003;year;     1.05;     1.06;     4.70;     5.15;     2.47;     1.56;     3.34;     3.31;     5.09;     3.83;     2.76;     5.49;     1.75;     1.92;     2.29;     2.77;     3.46;
2004;year;     1.69;     1.72;     7.11;     7.05;     5.68;     1.52;     3.40;     3.41;     6.40;     4.62;     3.97;     6.08;     4.15;     1.93;     3.02;     4.44;     4.76;
