Jahr;Monat,brandenburg/berlin,brandenburg,baden-wuerttemberg,bayern,hessen,mecklenburg-vorpommern,niedersachsen,niedersachsen/hamburg/bremen,nordrhein-westfalen,rheinland-pfalz,schleswig-holstein,saarland,sachsen,sachsen-anhalt,thueringen/sachsen-anhalt,thueringen,deutschland
188201,19.7,19.6,23.6,21.9,22.9,25.8,34.6,34.6,35.2,24.7,43.4,29.2,17.6,18.9,19.2,19.4,25.8
188301,29.2,29.1,43.4,50.0,50.0,28.4,38.5,38.5,56.3,45.5,41.8,54.0,37.6,27.9,33.2,39.7,42.2
188401,51.6,51.5,65.4,58.4,71.8,58.5,86.6,86.7,96.2,69.2,93.4,80.6,55.8,50.7,54.0,58.1,68.4
188501,19.1,19.0,19.1,16.6,22.2,22.7,33.6,33.8,35.9,26.5,46.7,31.8,18.7,18.4,18.4,18.4,24.2
188601,34.8,34.8,71.2,40.0,56.4,41.0,62.8,63.1,87.4,73.5,74.0,105.3,41.7,31.0,35.3,40.7,54.8
188701,2.6,2.6,9.9,7.1,6.8,4.3,4.5,4.5,7.5,8.3,3.5,12.6,3.8,2.4,3.1,4.1,5.8
188801,34.7,34.7,42.1,46.9,31.4,30.4,38.6,38.5,44.7,35.4,39.0,38.6,45.3,32.1,33.8,36.0,39.6
188901,20.8,20.7,19.9,16.5,10.7,15.4,23.0,23.0,21.6,12.7,14.6,16.7,21.4,19.9,17.4,14.2,18.2
189001,60.3,60.2,95.2,85.9,106.5,54.8,74.0,73.8,114.5,109.3,65.0,134.3,74.8,61.8,70.3,81.0,83.5
189101,44.6,44.7,33.0,51.2,51.6,48.5,50.5,50.3,69.1,43.7,44.2,38.6,67.8,41.1,49.7,60.5,50.1
189201,51.9,52.1,71.2,81.3,51.7,65.4,66.4,66.6,71.9,53.3,80.3,61.1,61.3,47.9,52.7,58.8,66.4
189301,31.1,31.3,52.7,65.7,44.7,33.8,26.1,26.1,43.8,47.7,29.8,44.2,59.4,31.3,38.6,47.8,44.8
