Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230110
Jahr;Jahr;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1970;year;    43.40;    43.35;    31.18;    30.43;    26.51;    21.66;    25.12;    25.12;    26.23;    27.14;    16.58;    27.85;    33.38;    34.16;    29.89;    24.32;    28.98;
1971;year;    45.88;    45.85;    36.42;    33.88;    33.23;    29.21;    26.70;    26.69;    27.70;    33.37;    17.47;    33.77;    39.73;    39.72;    36.68;    32.72;    33.11;
1972;year;    31.17;    31.17;    20.70;    23.53;    17.94;    19.07;    17.53;    17.53;    16.31;    17.63;    13.64;    17.76;    28.17;    26.78;    23.65;    19.57;    21.23;
1973;year;    42.18;    42.18;    38.48;    35.57;    40.40;    25.29;    29.85;    29.85;    36.61;    43.45;    21.69;    45.20;    40.22;    40.72;    37.80;    33.99;    35.75;
1974;year;    18.19;    18.15;    21.50;    19.68;    17.55;     9.23;    10.92;    10.87;    13.49;    21.51;     6.07;    24.98;    19.16;    18.11;    16.73;    14.92;    16.37;
1975;year;    52.41;    52.45;    33.80;    35.63;    38.64;    35.71;    37.45;    37.46;    35.68;    37.47;    30.23;    37.47;    43.22;    47.01;    42.10;    35.70;    38.25;
1976;year;    43.03;    43.02;    43.47;    38.49;    47.50;    26.58;    39.40;    39.43;    45.21;    54.21;    32.81;    56.67;    35.84;    43.85;    41.15;    37.63;    40.80;
1977;year;    20.17;    20.17;    19.27;    20.00;    17.07;     9.47;    12.23;    12.24;    13.25;    18.23;     7.19;    17.92;    18.42;    17.49;    16.46;    15.11;    16.28;
1978;year;    25.78;    25.71;    18.04;    16.94;    16.88;    17.29;    17.77;    17.76;    16.34;    16.11;    15.23;    13.53;    19.46;    22.21;    19.30;    15.50;    18.11;
1979;year;    32.08;    32.04;    29.10;    28.24;    21.49;    17.57;    17.75;    17.72;    19.28;    23.23;    11.98;    23.09;    29.90;    28.02;    25.21;    21.54;    24.04;
1980;year;    17.78;    17.71;    19.38;    18.32;    16.24;     7.85;    14.36;    14.33;    17.40;    16.32;     9.18;    15.27;    15.65;    18.57;    17.39;    15.85;    16.18;
1981;year;    30.03;    29.95;    28.88;    29.06;    20.60;    16.02;    18.96;    18.92;    19.91;    22.14;    11.73;    22.82;    25.63;    25.66;    23.37;    20.38;    23.59;
1982;year;    53.99;    53.87;    39.95;    40.68;    43.99;    31.47;    35.26;    35.15;    39.44;    44.50;    26.30;    43.30;    45.14;    49.57;    46.42;    42.31;    40.90;
