Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230702
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;01;    45.2;    45.3;    30.6;    34.5;    22.8;    39.7;    24.4;    24.6;    23.3;    23.9;    35.8;    21.5;    37.6;    28.0;    26.0;    23.5;    30.9;
1952;01;    38.9;    39.0;    39.1;    39.3;    19.3;    38.1;    25.9;    26.0;    23.3;    27.0;    38.1;    15.2;    41.9;    35.0;    30.7;    25.3;    33.0;
1953;01;    15.3;    15.3;    36.8;    30.8;    20.5;    17.7;    16.2;    16.2;    19.6;    31.7;    18.4;    42.7;    20.8;    13.7;    16.6;    20.3;    23.2;
1954;01;    81.0;    81.1;    54.7;    71.1;    80.4;    81.9;    80.9;    81.1;    80.2;    80.4;    85.4;    83.9;    66.5;    71.1;    68.9;    66.1;    74.5;
1955;01;    71.7;    71.6;    60.4;    65.6;    46.1;    53.9;    49.3;    49.4;    40.1;    43.5;    46.0;    44.4;    89.9;    65.1;    63.3;    61.0;    57.9;
1956;01;    54.6;    54.7;    63.9;    69.2;    54.1;    55.7;    50.3;    50.4;    48.2;    58.7;    57.3;    55.7;    63.2;    57.7;    56.4;    54.7;    58.3;
1957;01;    43.4;    43.5;    79.0;    69.2;    57.7;    49.6;    49.1;    49.2;    56.4;    64.8;    53.8;    74.1;    56.4;    43.7;    46.8;    50.7;    58.3;
1958;01;    77.6;    77.6;    56.0;    69.8;    43.1;    66.8;    44.0;    43.9;    44.6;    49.6;    46.8;    51.6;    68.0;    63.2;    58.9;    53.6;    58.0;
1959;01;    54.9;    55.1;    68.9;    66.2;    54.0;    59.7;    65.0;    65.2;    56.5;    60.7;    78.7;    70.8;    59.3;    60.0;    59.1;    58.0;    62.5;
1960;01;    48.1;    48.2;    62.5;    51.1;    33.0;    45.0;    25.4;    25.6;    26.8;    42.0;    37.8;    44.5;    46.4;    33.4;    31.9;    30.0;    41.5;
1961;01;    73.8;    73.9;    45.3;    61.7;    45.4;    71.6;    56.4;    56.5;    55.7;    48.7;    72.7;    45.2;    73.5;    55.6;    53.5;    50.9;    58.9;
