Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230602
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;10;   227.4;   227.5;   151.6;   183.7;   184.3;   225.7;   204.9;   205.4;   181.9;   170.1;   215.6;   169.7;   206.0;   200.4;   195.0;   188.2;   192.5;
1952;10;    55.8;    55.9;    94.2;    89.6;    81.9;    76.2;    71.9;    71.8;    81.0;   100.1;    66.5;   103.2;    71.0;    72.9;    72.9;    72.9;    79.6;
1953;10;   130.3;   130.1;   118.9;   123.0;   106.5;   111.5;    91.0;    91.0;    85.2;    94.1;    84.4;    98.1;   131.8;   111.7;   112.9;   114.5;   109.5;
1954;10;    98.0;    98.1;   139.4;   124.5;    94.8;    73.3;    59.9;    59.7;    82.4;   103.2;    54.1;   104.4;   119.2;    91.9;    93.8;    96.1;    98.1;
1955;10;   103.5;   103.6;   131.1;   115.9;   110.5;    95.1;    92.8;    92.6;   111.4;   120.2;    90.5;   133.3;   123.9;   103.1;   107.6;   113.3;   110.0;
1956;10;   115.7;   115.7;   102.4;   101.3;    69.7;   103.1;    90.1;    90.3;    75.0;    78.2;   111.3;    90.9;   117.3;   110.7;   103.6;    94.7;    97.1;
1957;10;    97.3;    97.5;   158.5;   138.6;    99.7;    89.5;    82.5;    82.4;    91.7;   117.9;    86.9;   147.9;   120.9;    92.5;    94.2;    96.4;   110.8;
1958;10;    99.4;    99.4;   103.7;    80.3;    86.6;   102.3;    88.7;    88.8;    88.1;    92.5;   101.0;   102.9;    95.6;    90.3;    89.2;    87.9;    91.5;
1959;10;   173.6;   173.9;   168.6;   180.5;   173.2;   169.6;   154.9;   154.9;   165.2;   168.3;   168.9;   175.5;   185.5;   168.3;   173.2;   179.3;   170.9;
1960;10;    63.0;    63.1;    85.0;    93.6;    60.4;    59.4;    52.8;    52.6;    59.9;    58.5;    46.9;    61.1;    75.2;    61.6;    62.5;    63.7;    68.8;
1961;10;   142.4;   142.4;   133.9;   146.7;   112.4;   141.4;   113.2;   113.1;   113.8;   110.0;   126.7;   118.4;   144.0;   127.3;   125.1;   122.3;   129.5;
1962;10;    99.7;    99.9;   157.4;   160.8;   134.2;    97.1;   101.5;   101.4;   119.5;   147.6;    95.3;   162.7;   127.8;   105.9;   115.6;   127.8;   127.6;
1963;10;   106.3;   106.4;   128.1;   128.7;   103.9;   111.8;   109.3;   109.3;   120.0;   114.4;   112.3;   108.4;   128.9;   114.7;   116.2;   118.1;   117.8;
1964;10;    99.1;    99.1;    76.6;    87.7;    99.1;   106.5;   104.9;   105.0;   106.8;    98.9;   112.1;    99.7;   102.8;    95.8;    94.4;    92.6;    96.8;
1965;10;   157.6;   157.4;   156.2;   169.0;   159.2;   146.0;   140.3;   140.1;   180.2;   169.3;   134.6;   178.8;   183.0;   148.2;   155.1;   163.7;   159.7;
1966;10;    87.3;    87.4;   107.6;    97.8;    85.2;    84.7;    77.7;    77.5;    83.3;    82.7;    73.3;    84.8;   103.8;    90.0;    91.5;    93.3;    89.9;
1967;10;   110.2;   110.3;   154.0;   154.6;    94.5;    99.5;    89.4;    89.2;    97.3;   104.0;    77.7;    89.9;   125.2;   108.4;   106.5;   104.0;   116.3;
1968;10;    90.2;    90.2;   112.6;   105.4;    77.5;    82.5;    72.6;    72.6;    75.6;    86.1;    72.8;    85.4;    96.2;    86.7;    86.6;    86.5;    89.4;
1969;10;   125.7;   125.7;   139.9;   140.7;   104.3;   108.9;    98.8;    98.3;   128.8;   108.2;    88.7;   123.0;   139.0;   101.0;   110.1;   121.6;   120.9;
1970;10;    61.2;    61.2;   104.9;   102.1;    77.2;    66.2;    73.8;    73.8;    85.9;    84.0;    91.8;    80.3;    65.6;    55.7;    60.4;    66.3;    81.9;
1971;10;   161.2;   161.1;   187.1;   185.8;   160.0;   133.6;   145.5;   145.3;   156.6;   171.5;   125.7;   185.3;   172.7;   158.4;   163.0;   168.8;   164.2;
