Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230702
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;11;    32.7;    32.8;    54.7;    48.5;    27.5;    37.7;    28.7;    28.7;    39.2;    44.3;    28.3;    45.9;    35.0;    29.6;    29.0;    28.3;    38.5;
1952;11;    31.3;    31.4;    44.6;    40.8;    34.1;    31.4;    32.2;    32.2;    43.4;    38.1;    39.6;    32.3;    44.0;    33.4;    36.1;    39.4;    37.9;
1953;11;    67.8;    67.8;    91.6;    75.6;    53.3;    57.4;    51.6;    51.4;    66.0;    58.6;    43.4;    66.1;    81.7;    59.5;    58.0;    56.0;    66.0;
1954;11;    61.1;    61.1;    67.8;    71.8;    67.7;    59.7;    64.5;    64.4;    75.9;    72.0;    57.3;    74.4;    68.5;    61.4;    62.8;    64.5;    67.2;
1955;11;    70.3;    70.3;    73.9;    59.4;    60.1;    74.9;    64.4;    64.5;    62.5;    66.4;    76.6;    76.4;    62.3;    59.4;    56.6;    53.0;    65.0;
1956;11;    48.9;    49.2;    44.5;    51.3;    54.5;    51.6;    62.3;    62.3;    64.1;    51.9;    60.7;    57.6;    59.1;    49.6;    50.3;    51.1;    54.1;
1957;11;    45.0;    45.0;    46.5;    51.4;    44.1;    46.1;    44.6;    44.7;    39.7;    40.5;    47.1;    44.5;    44.6;    37.8;    38.9;    40.2;    45.1;
1958;11;    27.6;    27.5;    22.9;    20.9;    18.3;    23.9;    19.9;    19.8;    27.4;    19.3;    21.3;    16.1;    28.7;    16.1;    17.1;    18.3;    22.1;
1959;11;    54.2;    54.3;    52.5;    55.0;    40.2;    32.6;    47.4;    47.1;    57.7;    41.1;    38.1;    40.7;    85.8;    47.5;    53.2;    60.4;    51.3;
1960;11;    52.6;    52.7;    62.8;    63.5;    49.2;    50.3;    49.6;    49.6;    48.0;    52.1;    44.0;    40.0;    61.2;    58.6;    54.1;    48.5;    54.7;
1961;11;    40.1;    40.2;    64.9;    63.7;    42.7;    62.1;    46.6;    46.8;    48.4;    47.2;    69.3;    56.9;    45.1;    35.5;    36.7;    38.3;    52.3;
1962;11;    46.3;    46.5;    53.2;    45.3;    42.0;    46.7;    49.1;    49.0;    42.0;    47.7;    49.4;    50.5;    57.4;    49.3;    50.5;    52.1;    47.8;
1963;11;    49.1;    49.2;    69.7;    62.4;    41.3;    42.7;    47.9;    47.8;    51.8;    55.6;    35.8;    61.2;    59.4;    53.6;    51.3;    48.3;    53.7;
1964;11;    35.0;    34.9;    39.8;    33.3;    30.7;    44.0;    32.8;    32.9;    37.9;    38.5;    44.7;    30.8;    33.5;    25.9;    27.2;    28.9;    35.2;
1965;11;    44.8;    44.8;    41.7;    50.0;    35.7;    61.4;    59.3;    59.5;    58.9;    45.4;    63.4;    49.7;    42.0;    41.5;    40.0;    38.0;    49.6;
1966;11;    34.7;    34.8;    45.5;    44.4;    27.9;    35.8;    31.2;    31.2;    29.5;    34.3;    38.5;    38.2;    38.7;    31.7;    31.3;    30.7;    36.5;
1967;11;    70.1;    70.0;    67.4;    69.6;    55.6;    68.5;    54.0;    53.9;    67.8;    65.2;    54.5;    66.4;    67.8;    57.3;    59.4;    62.0;    64.2;
1968;11;    37.5;    37.6;    44.8;    42.1;    37.4;    37.9;    40.7;    40.7;    50.2;    48.4;    39.4;    50.5;    41.7;    39.4;    40.3;    41.5;    42.2;
1969;11;    56.6;    56.7;    76.9;    79.8;    42.7;    54.9;    39.2;    39.3;    42.6;    50.8;    46.4;    45.7;    69.7;    52.1;    51.2;    50.1;    57.9;
1970;11;    47.6;    47.6;    60.5;    51.0;    41.7;    48.7;    56.7;    56.7;    64.0;    51.7;    54.1;    56.8;    52.0;    50.6;    48.8;    46.6;    53.1;
1971;11;    45.5;    45.5;    50.3;    50.1;    39.5;    45.8;    44.2;    44.3;    43.4;    49.0;    58.9;    46.2;    46.6;    44.2;    44.0;    43.7;    46.9;
1972;11;    36.6;    36.8;    72.3;    58.5;    35.3;    40.1;    37.8;    37.9;    38.4;    48.9;    36.9;    48.6;    60.9;    47.0;    48.5;    50.3;    48.4;
1973;11;    84.6;    84.6;    70.4;    74.0;    51.9;    91.5;    65.7;    65.8;    57.5;    64.0;    69.5;    71.8;    72.3;    81.0;    74.9;    67.3;    71.0;
1974;11;    25.5;    25.6;    51.8;    56.9;    33.4;    34.4;    30.4;    30.4;    31.0;    33.9;    30.5;    34.9;    33.7;    30.6;    33.4;    36.9;    38.6;
1975;11;    56.7;    56.7;    54.1;    52.1;    43.8;    61.4;    44.9;    44.9;    58.0;    56.4;    44.9;    52.7;    50.7;    45.0;    43.3;    41.2;    51.4;
1976;11;    45.0;    44.9;    41.2;    37.2;    33.4;    47.1;    31.6;    31.6;    33.2;    40.1;    31.3;    45.8;    30.8;    42.7;    39.2;    34.8;    37.4;
1977;11;    41.3;    41.3;    60.3;    60.0;    40.3;    30.7;    34.2;    34.2;    36.6;    48.2;    35.5;    42.5;    53.0;    40.0;    41.5;    43.3;    45.5;
1978;11;    49.7;    49.7;    84.0;    60.9;    43.8;    35.5;    50.5;    50.2;    79.4;    58.4;    30.7;    46.3;    74.8;    64.2;    63.1;    61.6;    59.4;
