Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230702
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;07;   252.6;   252.6;   270.6;   258.0;   238.3;   248.3;   205.1;   205.3;   202.2;   241.8;   213.4;   270.7;   248.7;   229.5;   233.3;   238.1;   238.8;
1952;07;   269.1;   269.2;   306.9;   296.0;   267.1;   259.3;   209.4;   209.4;   211.0;   266.1;   236.3;   302.3;   281.3;   245.1;   251.7;   259.9;   261.4;
1953;07;   238.1;   238.1;   224.9;   229.5;   207.0;   253.4;   213.8;   214.3;   174.3;   189.7;   249.8;   212.4;   238.7;   216.9;   211.9;   205.5;   219.9;
1954;07;   126.8;   126.9;   177.3;   155.9;   132.0;   129.1;   136.6;   136.9;   121.1;   151.8;   154.8;   179.6;   129.4;   116.0;   115.1;   114.0;   140.9;
1955;07;   221.8;   221.3;   175.3;   178.5;   182.1;   279.8;   232.1;   233.1;   184.9;   191.7;   317.4;   215.4;   144.1;   178.7;   165.5;   148.8;   200.6;
1956;07;   259.7;   259.9;   220.1;   226.4;   180.0;   294.9;   175.9;   176.7;   144.9;   184.9;   248.3;   201.5;   219.5;   204.0;   191.4;   175.5;   210.4;
1957;07;   202.9;   202.9;   200.2;   186.8;   188.0;   207.6;   192.8;   193.0;   176.9;   191.5;   213.3;   203.2;   190.0;   191.4;   188.6;   185.1;   192.7;
1958;07;   245.7;   245.5;   237.0;   232.6;   212.2;   230.3;   193.2;   193.0;   183.7;   231.4;   201.7;   247.8;   233.3;   218.2;   215.6;   212.4;   219.8;
1959;07;   235.1;   235.0;   280.4;   248.9;   287.8;   260.8;   274.0;   274.3;   269.8;   291.2;   306.1;   303.1;   207.4;   243.1;   251.7;   262.6;   262.7;
1960;07;   203.6;   203.5;   189.6;   186.5;   178.7;   204.9;   164.3;   164.5;   154.6;   162.9;   190.2;   168.6;   187.9;   193.8;   190.3;   185.9;   182.1;
1961;07;   142.0;   142.1;   233.4;   205.4;   154.1;   149.2;   131.1;   131.4;   120.9;   175.0;   152.8;   221.1;   156.0;   141.2;   143.1;   145.4;   165.3;
1962;07;   192.2;   192.2;   220.0;   209.3;   169.8;   189.9;   135.9;   136.1;   125.3;   185.2;   167.3;   205.3;   181.8;   163.3;   164.9;   167.0;   178.3;
1963;07;   278.9;   278.9;   282.0;   278.0;   253.1;   262.3;   211.8;   211.7;   227.9;   274.0;   229.4;   299.4;   268.9;   241.6;   244.9;   249.1;   256.2;
1964;07;   251.7;   251.5;   300.9;   289.3;   262.1;   233.6;   205.2;   204.9;   225.6;   274.6;   190.6;   301.2;   250.3;   242.0;   249.8;   259.6;   253.4;
1965;07;   174.0;   174.0;   185.1;   173.8;   130.1;   178.7;   136.7;   137.1;   105.3;   135.4;   177.8;   150.3;   160.8;   153.9;   149.7;   144.5;   155.9;
1966;07;   203.6;   203.7;   185.0;   169.4;   152.9;   222.5;   167.4;   167.8;   139.9;   157.7;   213.2;   170.4;   178.8;   179.6;   169.4;   156.5;   175.1;
1967;07;   272.6;   272.5;   281.8;   276.8;   266.4;   258.4;   238.9;   238.7;   247.7;   269.1;   237.8;   298.3;   264.6;   254.0;   262.6;   273.3;   263.1;
1968;07;   242.8;   243.1;   219.0;   220.8;   215.1;   250.5;   214.3;   214.7;   208.6;   205.2;   246.4;   213.5;   223.4;   224.1;   224.9;   225.9;   222.8;
1969;07;   271.2;   271.2;   250.5;   254.0;   224.4;   252.6;   208.7;   208.8;   210.1;   224.2;   224.1;   230.8;   252.0;   248.1;   245.8;   243.0;   238.9;
1970;07;   228.1;   228.2;   220.8;   214.4;   179.9;   218.6;   172.6;   172.7;   168.9;   190.6;   204.7;   204.1;   220.7;   205.7;   201.4;   196.0;   201.7;
1971;07;   315.8;   315.6;   300.3;   304.5;   299.2;   296.3;   259.3;   259.3;   275.4;   293.5;   268.4;   307.1;   302.0;   290.8;   299.4;   310.1;   292.5;
1972;07;   219.2;   219.2;   188.6;   189.9;   184.8;   223.9;   191.3;   191.7;   171.4;   182.8;   219.4;   199.8;   202.5;   185.4;   183.4;   180.8;   193.6;
1973;07;   228.2;   228.3;   181.5;   188.4;   195.4;   237.1;   191.6;   191.8;   190.1;   186.8;   205.6;   197.0;   208.5;   201.7;   200.1;   198.1;   198.3;
1974;07;   161.0;   161.1;   213.3;   192.3;   168.3;   174.7;   160.4;   160.9;   143.8;   188.3;   201.5;   199.8;   156.9;   162.8;   161.3;   159.4;   175.6;
1975;07;   248.0;   248.0;   254.5;   241.6;   247.6;   261.7;   247.5;   247.7;   227.6;   259.7;   253.6;   272.3;   233.2;   250.6;   243.9;   235.5;   246.2;
1976;07;   262.2;   262.2;   228.0;   240.5;   255.1;   279.0;   273.0;   273.5;   248.9;   240.2;   301.3;   239.5;   244.0;   268.1;   264.9;   260.9;   255.0;
1977;07;   197.6;   197.4;   227.8;   226.4;   183.6;   197.9;   186.9;   187.1;   167.4;   186.9;   221.1;   204.7;   169.4;   183.3;   180.6;   177.2;   198.5;
1978;07;   191.7;   191.6;   208.2;   201.4;   172.7;   178.9;   175.2;   175.3;   163.5;   179.7;   170.2;   189.8;   183.0;   178.4;   178.2;   177.9;   184.9;
1979;07;   145.1;   145.2;   198.9;   155.7;   146.2;   168.1;   147.0;   147.4;   129.2;   163.6;   179.2;   185.5;   129.7;   140.4;   137.3;   133.3;   154.2;
1980;07;   142.5;   142.6;   138.3;   136.1;   129.0;   163.9;   132.8;   132.9;   128.8;   124.6;   150.4;   122.3;   123.3;   134.3;   129.5;   123.4;   135.7;
1981;07;   161.8;   162.0;   164.7;   153.8;   142.3;   176.5;   143.6;   143.8;   135.2;   143.8;   166.5;   148.5;   139.9;   143.6;   139.4;   134.0;   151.0;
1982;07;   306.0;   305.8;   224.6;   226.1;   229.3;   314.3;   262.3;   262.8;   229.4;   220.3;   301.4;   234.0;   239.4;   270.8;   255.3;   235.9;   250.7;
1983;07;   315.2;   315.1;   302.4;   300.6;   278.1;   306.0;   263.3;   263.5;   252.1;   275.1;   290.1;   304.6;   292.0;   290.0;   289.8;   289.6;   288.0;
1984;07;   157.1;   157.2;   232.8;   210.7;   190.0;   164.0;   137.2;   137.0;   176.5;   202.9;   132.7;   228.9;   166.1;   159.0;   169.9;   183.5;   180.7;
1985;07;   245.5;   245.4;   263.0;   259.0;   230.4;   242.9;   203.9;   203.9;   213.3;   237.7;   202.2;   262.1;   243.2;   233.7;   237.8;   242.9;   237.1;
1986;07;   225.5;   225.6;   238.3;   223.1;   206.4;   217.5;   186.3;   186.3;   193.0;   214.7;   200.6;   227.8;   207.8;   203.9;   201.7;   199.0;   211.3;
1987;07;   223.3;   223.2;   203.1;   207.8;   194.3;   203.4;   195.7;   196.0;   188.8;   198.1;   190.7;   197.1;   214.0;   204.8;   201.7;   197.9;   202.5;
1988;07;   217.9;   217.8;   237.7;   229.2;   196.9;   187.1;   157.5;   157.4;   166.4;   205.6;   153.2;   222.9;   215.3;   202.8;   204.4;   206.5;   200.9;
1989;07;   227.6;   227.7;   212.0;   201.3;   210.9;   231.2;   182.8;   182.9;   202.0;   218.1;   202.6;   241.2;   211.0;   208.5;   209.4;   210.5;   207.3;
1990;07;   250.9;   250.9;   266.0;   254.0;   255.8;   237.0;   221.4;   221.4;   237.7;   273.3;   235.3;   297.4;   252.0;   241.2;   239.7;   237.7;   247.0;
1991;07;   308.0;   307.7;   277.3;   261.1;   263.0;   296.7;   275.1;   275.6;   242.7;   260.6;   292.3;   280.4;   277.5;   292.0;   283.4;   272.6;   274.0;
1992;07;   252.6;   252.5;   213.9;   215.9;   222.2;   264.5;   216.4;   216.5;   219.9;   215.3;   235.0;   218.0;   236.4;   231.7;   224.4;   215.1;   225.6;
1993;07;   183.1;   182.9;   201.2;   182.8;   180.0;   179.8;   149.7;   149.6;   170.6;   191.3;   161.7;   206.1;   186.7;   175.6;   172.7;   169.1;   177.5;
1994;07;   350.2;   349.6;   268.2;   289.3;   282.9;   365.5;   309.1;   309.3;   277.6;   268.5;   334.5;   276.4;   306.9;   318.4;   302.9;   283.3;   301.5;
1995;07;   301.4;   301.2;   268.1;   267.9;   270.3;   291.6;   277.0;   277.3;   262.1;   266.4;   293.5;   281.0;   293.2;   283.5;   276.0;   266.6;   276.4;
1996;07;   178.5;   178.4;   246.0;   227.3;   207.3;   183.5;   176.3;   176.2;   185.1;   232.3;   189.4;   257.0;   189.4;   180.4;   181.9;   183.7;   202.3;
1997;07;   223.5;   223.2;   199.0;   180.0;   189.0;   246.6;   208.1;   208.6;   176.4;   205.5;   248.0;   225.8;   184.8;   194.7;   180.4;   162.5;   199.0;
1998;07;   193.2;   192.9;   166.7;   160.3;   148.4;   176.7;   157.7;   158.0;   135.3;   145.0;   185.8;   152.0;   179.0;   169.1;   160.4;   149.5;   162.6;
1999;07;   258.9;   258.8;   239.9;   228.1;   238.1;   273.2;   251.0;   251.2;   248.8;   243.0;   265.2;   254.3;   225.8;   241.9;   232.2;   219.9;   243.4;
2000;07;   102.4;   102.2;   180.7;   158.1;   109.2;   114.2;    99.4;    99.7;    98.1;   135.1;   137.3;   154.5;    99.0;   106.1;   102.1;    97.1;   125.3;
2001;07;   242.6;   242.4;   258.4;   254.5;   244.3;   249.6;   238.9;   238.9;   227.7;   235.6;   253.5;   240.1;   238.7;   243.7;   244.3;   245.2;   245.2;
2002;07;   176.1;   176.1;   196.7;   197.5;   156.3;   180.0;   156.3;   156.4;   149.7;   157.0;   176.0;   178.3;   181.0;   157.2;   155.4;   153.2;   173.4;
2003;07;   219.6;   219.4;   260.4;   255.4;   234.5;   227.7;   219.6;   219.6;   221.4;   243.2;   239.7;   254.3;   216.9;   222.3;   221.7;   220.9;   234.9;
2004;07;   210.2;   209.9;   211.4;   206.8;   187.6;   192.1;   178.4;   178.3;   184.5;   191.8;   181.9;   198.3;   211.4;   198.0;   194.7;   190.7;   196.5;
2005;07;   201.0;   201.1;   199.9;   203.4;   201.2;   211.5;   179.8;   179.7;   194.3;   209.4;   176.2;   212.3;   207.1;   196.8;   203.2;   211.2;   198.5;
2006;07;   360.0;   359.7;   328.5;   326.8;   320.8;   371.2;   333.9;   334.2;   320.4;   322.2;   346.7;   329.1;   335.2;   344.4;   335.6;   324.6;   334.5;
2007;07;   182.8;   182.9;   208.0;   219.1;   181.5;   179.8;   173.2;   173.1;   177.3;   199.2;   185.2;   200.9;   193.7;   184.4;   184.0;   183.6;   192.3;
2008;07;   227.0;   227.0;   224.2;   216.3;   208.1;   260.8;   202.7;   202.9;   190.1;   212.5;   239.8;   221.5;   207.0;   217.5;   214.5;   210.7;   216.3;
2009;07;   226.5;   226.6;   206.5;   201.0;   197.7;   232.2;   220.2;   220.2;   209.6;   205.0;   227.9;   208.3;   201.5;   219.4;   207.5;   192.4;   211.1;
2010;07;   302.5;   302.5;   269.5;   276.6;   271.0;   307.6;   280.5;   280.6;   267.1;   273.4;   275.2;   286.7;   278.9;   284.3;   278.6;   271.4;   279.5;
2011;07;   166.8;   166.7;   189.3;   175.3;   144.4;   149.3;   131.2;   131.5;   127.2;   154.6;   153.8;   163.8;   177.2;   154.9;   157.0;   159.6;   158.0;
2012;07;   209.0;   209.0;   209.1;   199.0;   189.8;   202.4;   198.2;   198.3;   186.7;   200.2;   209.7;   205.6;   205.5;   201.5;   194.6;   186.0;   199.8;
2013;07;   299.9;   299.8;   310.9;   306.8;   290.1;   300.9;   277.4;   277.8;   262.8;   297.4;   301.7;   303.1;   295.7;   297.1;   293.5;   288.7;   294.4;
2014;07;   262.6;   262.4;   190.1;   209.7;   228.3;   276.4;   235.1;   235.5;   219.8;   216.3;   271.3;   216.7;   234.1;   236.5;   233.2;   228.8;   228.9;
2015;07;   243.7;   243.8;   278.3;   274.2;   241.9;   228.7;   211.5;   211.4;   212.1;   245.8;   217.5;   253.0;   261.4;   244.5;   247.6;   251.6;   245.1;
2016;07;   203.6;   203.6;   235.9;   216.0;   184.9;   190.3;   190.3;   190.2;   181.7;   192.4;   178.0;   203.4;   207.0;   202.8;   198.0;   191.6;   201.3;
2017;07;   202.1;   201.9;   214.5;   213.8;   188.3;   188.1;   179.4;   179.5;   181.6;   203.6;   188.6;   213.1;   196.4;   185.9;   183.0;   179.2;   196.3;
2018;07;   320.7;   320.6;   290.7;   291.9;   313.7;   323.5;   324.5;   324.5;   313.8;   307.5;   331.6;   322.7;   311.0;   332.9;   326.2;   317.4;   311.4;
2019;07;   219.8;   219.9;   277.1;   255.9;   241.4;   219.3;   194.2;   194.0;   217.1;   267.6;   183.6;   298.8;   230.6;   214.2;   218.5;   224.1;   232.4;
2020;07;   223.6;   223.5;   294.5;   275.6;   237.3;   197.0;   182.8;   182.9;   192.1;   249.6;   183.2;   266.2;   239.5;   221.0;   228.1;   237.5;   232.9;
2021;07;   219.7;   219.7;   208.4;   209.0;   185.4;   220.2;   179.8;   180.1;   162.4;   194.2;   211.5;   197.3;   209.4;   200.2;   194.8;   187.6;   198.6;
2022;07;   267.6;   267.3;   324.0;   283.0;   268.8;   260.4;   220.2;   220.3;   243.3;   304.9;   218.2;   329.9;   262.8;   255.4;   251.8;   247.1;   265.8;
