Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230602
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;04;   227.3;   227.4;   195.6;   198.0;   189.0;   226.3;   185.3;   185.4;   180.3;   187.5;   189.3;   196.8;   223.6;   208.2;   204.0;   198.7;   199.1;
1952;04;   204.4;   204.6;   180.2;   181.8;   192.0;   207.6;   205.3;   205.5;   203.2;   199.5;   209.7;   223.8;   195.2;   200.8;   195.4;   188.6;   195.7;
1953;04;   268.2;   268.0;   209.0;   213.1;   218.8;   237.3;   213.8;   213.7;   206.7;   207.0;   209.3;   224.4;   250.2;   245.5;   238.1;   228.8;   222.8;
1954;04;   190.1;   190.2;   145.1;   137.6;   187.9;   207.2;   203.7;   203.7;   194.0;   178.5;   211.1;   186.3;   168.7;   194.7;   186.8;   176.8;   177.1;
1955;04;   153.1;   153.1;   197.1;   186.6;   186.4;   168.1;   162.4;   162.5;   155.8;   196.7;   179.3;   231.1;   153.1;   162.7;   163.9;   165.4;   173.9;
1956;04;   102.5;   102.8;   145.8;   125.8;   140.7;   115.9;   126.4;   126.5;   113.6;   136.7;   144.3;   171.0;   110.5;   119.1;   119.5;   119.9;   125.3;
1957;04;   214.9;   214.7;   186.2;   191.4;   220.3;   200.1;   210.4;   210.6;   196.5;   208.3;   224.7;   236.5;   195.3;   200.0;   200.9;   202.0;   202.1;
1958;04;   125.9;   125.9;   154.7;   152.1;   157.5;   149.9;   146.5;   146.7;   147.2;   165.4;   160.6;   183.3;   117.2;   127.6;   127.6;   127.7;   146.1;
1959;04;   199.6;   199.7;   189.9;   202.0;   179.0;   193.7;   169.0;   169.2;   166.3;   165.7;   191.3;   163.0;   198.1;   183.6;   185.2;   187.2;   186.1;
1960;04;   183.5;   183.6;   162.8;   171.0;   173.0;   197.2;   164.5;   164.7;   159.7;   167.7;   189.9;   173.4;   178.9;   175.3;   171.0;   165.5;   172.2;
1961;04;   199.3;   199.3;   121.0;   144.4;    96.0;   226.7;   127.3;   127.9;    90.6;    83.9;   200.8;   102.9;   165.7;   138.0;   126.7;   112.5;   140.0;
1962;04;   164.5;   164.5;   185.9;   178.9;   147.1;   159.1;   138.1;   138.1;   121.0;   145.9;   156.7;   160.8;   149.5;   148.6;   147.1;   145.3;   156.4;
1963;04;   159.6;   159.8;   131.0;   139.7;   143.5;   142.1;   150.5;   150.5;   144.0;   134.4;   148.0;   129.8;   152.9;   148.3;   146.9;   145.2;   144.2;
1964;04;   152.8;   152.8;   160.6;   162.5;   137.4;   170.9;   142.2;   142.4;   124.8;   135.0;   161.2;   137.3;   144.6;   136.9;   135.7;   134.1;   148.8;
