Zeitreihen fuer Gebietsmittel fuer Bundeslaender und Kombinationen von Bundeslaender, erstellt am: 20230602
Jahr;Monat;Brandenburg/Berlin;Brandenburg;Baden-Wuerttemberg;Bayern;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Niedersachsen/Hamburg/Bremen;Nordrhein-Westfalen;Rheinland-Pfalz;Schleswig-Holstein;Saarland;Sachsen;Sachsen-Anhalt;Thueringen/Sachsen-Anhalt;Thueringen;Deutschland;
1951;12;    51.2;    51.4;    69.9;    42.7;    38.1;    53.2;    51.6;    51.5;    59.5;    49.6;    42.7;    65.1;    61.3;    52.3;    50.7;    48.7;    51.8;
1952;12;    35.8;    35.9;    34.9;    28.4;    30.6;    29.9;    24.0;    24.0;    32.0;    33.7;    21.7;    33.7;    50.5;    29.8;    31.6;    33.9;    31.2;
1953;12;    45.4;    45.4;    50.5;    46.9;    34.5;    38.9;    31.3;    31.3;    41.2;    35.0;    33.1;    43.0;    58.8;    37.4;    38.7;    40.3;    41.7;
1954;12;    22.6;    22.6;    42.5;    31.5;    20.6;    22.0;    26.5;    26.4;    28.6;    30.0;    26.9;    27.5;    32.7;    30.6;    27.9;    24.5;    29.1;
1955;12;    38.0;    38.0;    43.9;    49.7;    37.6;    35.6;    33.9;    33.8;    34.8;    38.5;    33.7;    32.2;    47.7;    38.9;    40.5;    42.4;    40.4;
1956;12;    39.3;    39.5;    45.1;    43.6;    36.4;    40.1;    26.0;    26.0;    33.6;    37.8;    28.7;    47.5;    46.9;    34.6;    36.6;    39.0;    37.9;
1957;12;    38.8;    39.0;    49.0;    47.1;    28.2;    37.5;    37.9;    37.9;    29.8;    37.1;    45.7;    36.4;    49.0;    43.5;    42.0;    40.2;    40.9;
1958;12;    38.5;    38.6;    57.8;    51.9;    24.7;    41.1;    24.2;    24.3;    25.7;    36.3;    38.3;    39.4;    44.4;    27.9;    28.4;    29.1;    38.5;
1959;12;    16.9;    17.0;    43.9;    36.6;    18.8;    11.9;    18.0;    17.9;    35.5;    27.7;    10.1;    18.9;    25.2;    21.2;    20.9;    20.4;    26.4;
1960;12;    24.7;    24.8;    34.9;    31.9;    19.2;    15.8;    18.2;    18.1;    27.0;    28.9;    13.5;    25.1;    36.7;    27.6;    28.7;    30.0;    26.4;
1961;12;    65.2;    65.3;    62.4;    64.8;    59.3;    66.7;    44.0;    43.9;    58.1;    58.0;    56.5;    52.8;    69.8;    59.0;    60.7;    62.9;    60.0;
1962;12;    44.7;    44.8;    65.6;    65.9;    59.9;    58.5;    58.0;    58.1;    60.0;    68.7;    65.1;    79.4;    52.2;    48.0;    52.2;    57.4;    59.7;
1963;12;    54.8;    55.1;    65.7;    65.3;    68.2;    53.6;    51.0;    50.8;    78.0;    70.2;    45.3;    64.5;    76.1;    63.9;    67.4;    71.8;    63.3;
1964;12;    29.7;    29.8;    36.5;    39.7;    31.6;    30.3;    28.4;    28.3;    42.3;    35.0;    35.2;    35.6;    43.8;    32.9;    34.4;    36.3;    35.3;
1965;12;    25.6;    25.7;    24.3;    27.0;    10.7;    19.8;    17.4;    17.4;    16.9;    21.9;    25.4;    23.1;    34.7;    24.1;    21.3;    17.8;    22.4;
1966;12;    19.7;    19.8;    31.0;    27.5;    16.1;    20.7;    19.6;    19.6;    16.9;    25.7;    26.0;    27.0;    29.3;    24.0;    22.4;    20.4;    23.4;
1967;12;    25.2;    25.3;    42.5;    34.2;    23.4;    37.5;    21.5;    21.7;    17.0;    33.5;    36.1;    40.8;    22.3;    26.8;    27.2;    27.7;    29.3;
1968;12;    40.9;    40.9;    44.2;    50.6;    35.9;    43.6;    38.6;    38.7;    41.0;    38.8;    45.5;    39.4;    53.3;    35.4;    38.8;    43.0;    43.3;
1969;12;    30.0;    30.0;    31.4;    34.5;    20.9;    34.3;    27.5;    27.6;    25.9;    23.2;    34.6;    28.8;    26.9;    21.3;    23.4;    26.0;    29.1;
1970;12;    28.3;    28.4;    38.3;    38.6;    27.8;    38.6;    33.7;    33.9;    28.4;    37.6;    48.4;    47.4;    30.2;    28.0;    27.5;    26.9;    34.3;
1971;12;    10.9;    11.0;    48.1;    45.7;    20.0;    10.7;    14.5;    14.5;    27.2;    30.8;    18.6;    35.0;    26.1;    16.4;    19.4;    23.1;    27.4;
1972;12;    84.5;    84.4;    84.9;    81.3;    63.5;    62.4;    59.7;    59.6;    81.1;    70.7;    42.4;    78.6;   101.2;    79.5;    83.3;    88.0;    75.7;
1973;12;    39.9;    39.9;    40.7;    45.1;    33.6;    45.5;    44.3;    44.5;    41.5;    38.1;    49.3;    36.9;    37.2;    42.8;    41.8;    40.6;    42.1;
1974;12;    33.7;    33.7;    43.6;    41.6;    22.5;    32.3;    21.2;    21.3;    20.4;    33.2;    23.4;    34.5;    27.4;    30.1;    26.3;    21.5;    31.1;
1975;12;    23.3;    23.5;    46.4;    44.6;    26.0;    31.5;    26.8;    27.0;    29.6;    36.7;    35.4;    42.8;    26.1;    25.4;    25.0;    24.5;    33.4;
1976;12;    40.4;    40.5;    43.7;    47.1;    35.5;    44.7;    44.0;    44.0;    46.8;    38.4;    42.0;    39.3;    34.0;    43.1;    41.3;    39.1;    42.9;
1977;12;    24.4;    24.4;    39.6;    38.1;    29.7;    13.5;    22.1;    22.2;    46.8;    35.1;    22.0;    34.4;    39.4;    22.7;    28.6;    35.9;    31.9;
